U+0049	LATIN CAPITAL LETTER I
U+0062	LATIN SMALL LETTER B
U+006E	LATIN SMALL LETTER N
U+0020	SPACE
U+0053	LATIN CAPITAL LETTER S
U+012B	LATIN SMALL LETTER I WITH MACRON
U+006E	LATIN SMALL LETTER N
U+0101	LATIN SMALL LETTER A WITH MACRON
U+000A	<control>
U+004A	LATIN CAPITAL LETTER J
U+0061	LATIN SMALL LETTER A
U+006B	LATIN SMALL LETTER K
U+006F	LATIN SMALL LETTER O
U+0062	LATIN SMALL LETTER B
U+0020	SPACE
U+0042	LATIN CAPITAL LETTER B
U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
U+0068	LATIN SMALL LETTER H
U+006D	LATIN SMALL LETTER M
U+0065	LATIN SMALL LETTER E
U+000A	<control>
U+897F	CJK Unified Ideographs
U+7530	CJK Unified Ideographs
U+5E7E	CJK Unified Ideographs
U+591A	CJK Unified Ideographs
U+90CE	CJK Unified Ideographs
U+000A	<control>
